NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MIR-509-3P ALTERATION OF YAP1/ECM AXIS%WIKIPATHWAYS_20220310%WP3967%HOMO SAPIENS	13		Rejected!	
PRIMARY FOCAL SEGMENTAL GLOMERULOSCLEROSIS (FSGS)%WIKIPATHWAYS_20220310%WP2572%HOMO SAPIENS	64	49		
BLADDER CANCER%WIKIPATHWAYS_20220310%WP2828%HOMO SAPIENS	34	30		
ERK PATHWAY IN HUNTINGTON'S DISEASE%WIKIPATHWAYS_20220310%WP3853%HOMO SAPIENS	11		Rejected!	
NEURAL CREST CELL MIGRATION IN CANCER%WIKIPATHWAYS_20220310%WP4565%HOMO SAPIENS	32	27		
NEUROINFLAMMATION AND GLUTAMATERGIC SIGNALING%WIKIPATHWAYS_20220310%WP5083%HOMO SAPIENS	115	73		
NEUROTRANSMITTER DISORDERS%WIKIPATHWAYS_20220310%WP4220%HOMO SAPIENS	4		Rejected!	
BASE EXCISION REPAIR%WIKIPATHWAYS_20220310%WP4752%HOMO SAPIENS	27	27		
ONE-CARBON METABOLISM AND RELATED PATHWAYS%WIKIPATHWAYS_20220310%WP3940%HOMO SAPIENS	42	24		
TYPE III INTERFERON SIGNALING%WIKIPATHWAYS_20220310%WP2113%HOMO SAPIENS	10		Rejected!	
SARS-COV-2 B.1.1.7 VARIANT ANTAGONISES INNATE IMMUNE ACTIVATION%WIKIPATHWAYS_20220310%WP5116%HOMO SAPIENS	9		Rejected!	
PROGERIA-ASSOCIATED LIPODYSTROPHY%WIKIPATHWAYS_20220310%WP5103%HOMO SAPIENS	18		Rejected!	
MAMMARY GLAND DEVELOPMENT PATHWAY - PREGNANCY AND LACTATION (STAGE 3 OF 4)%WIKIPATHWAYS_20220310%WP2817%HOMO SAPIENS	27	18		
TRANSCRIPTION FACTOR REGULATION IN ADIPOGENESIS%WIKIPATHWAYS_20220310%WP3599%HOMO SAPIENS	19	16		
HIPPO-YAP SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP4537%HOMO SAPIENS	17	15		
NOTCH SIGNALING%WIKIPATHWAYS_20220310%WP268%HOMO SAPIENS	35	27		
LEPTIN AND ADIPONECTIN%WIKIPATHWAYS_20220310%WP3934%HOMO SAPIENS	9		Rejected!	
KETONE BODIES SYNTHESIS AND DEGRADATION%WIKIPATHWAYS_20220310%WP311%HOMO SAPIENS	3		Rejected!	
ALZHEIMER'S DISEASE AND MIRNA EFFECTS%WIKIPATHWAYS_20220310%WP2059%HOMO SAPIENS	208	152		
EICOSANOID METABOLISM VIA CYTOCHROME P450 MONOOXYGENASES PATHWAY%WIKIPATHWAYS_20220310%WP4720%HOMO SAPIENS	9		Rejected!	
GASTRIC CANCER NETWORK 1%WIKIPATHWAYS_20220310%WP2361%HOMO SAPIENS	25	17		
PLURIPOTENT STEM CELL DIFFERENTIATION PATHWAY%WIKIPATHWAYS_20220310%WP2848%HOMO SAPIENS	43	20		
TRANSCRIPTIONAL ACTIVATION BY NRF2 IN RESPONSE TO PHYTOCHEMICALS%WIKIPATHWAYS_20220310%WP3%HOMO SAPIENS	14		Rejected!	
TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20220310%WP619%HOMO SAPIENS	31	21		
PENTOSE PHOSPHATE METABOLISM%WIKIPATHWAYS_20220310%WP134%HOMO SAPIENS	4		Rejected!	
ENDOCHONDRAL OSSIFICATION WITH SKELETAL DYSPLASIAS%WIKIPATHWAYS_20220310%WP4808%HOMO SAPIENS	54	34		
FAMILIAL HYPERLIPIDEMIA TYPE 3%WIKIPATHWAYS_20220310%WP5110%HOMO SAPIENS	10		Rejected!	
IL-17 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP2112%HOMO SAPIENS	28	21		
MEVALONATE ARM OF CHOLESTEROL BIOSYNTHESIS PATHWAY WITH INHIBITORS%WIKIPATHWAYS_20220310%WP4189%HOMO SAPIENS	2		Rejected!	
WNT SIGNALING PATHWAY AND PLURIPOTENCY%WIKIPATHWAYS_20220310%WP399%HOMO SAPIENS	87	65		
DISORDERS OF GALACTOSE METABOLISM %WIKIPATHWAYS_20220310%WP5173%HOMO SAPIENS	8		Rejected!	
LNCRNA-MEDIATED MECHANISMS OF THERAPEUTIC RESISTANCE%WIKIPATHWAYS_20220310%WP3672%HOMO SAPIENS	4		Rejected!	
NICOTINE METABOLISM IN LIVER CELLS%WIKIPATHWAYS_20220310%WP1600%HOMO SAPIENS	5		Rejected!	
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20220310%WP391%HOMO SAPIENS	19	18		
GASTRIN SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP4659%HOMO SAPIENS	103	87		
MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS%WIKIPATHWAYS_20220310%WP2911%HOMO SAPIENS	17		Rejected!	
DNA IR-DOUBLE STRAND BREAKS AND CELLULAR RESPONSE VIA ATM%WIKIPATHWAYS_20220310%WP3959%HOMO SAPIENS	46	42		
MAPK AND NFKB SIGNALING PATHWAYS INHIBITED BY YERSINIA YOPJ%WIKIPATHWAYS_20220310%WP3849%HOMO SAPIENS	12		Rejected!	
CATALYTIC CYCLE OF MAMMALIAN FLAVIN-CONTAINING MONOOXYGENASES (FMOS)%WIKIPATHWAYS_20220310%WP688%HOMO SAPIENS	3		Rejected!	
MIRNA REGULATION OF P53 PATHWAY IN PROSTATE CANCER%WIKIPATHWAYS_20220310%WP3982%HOMO SAPIENS	22	18		
DIRECT REVERSAL REPAIR%WIKIPATHWAYS_20220310%WP4931%HOMO SAPIENS	3		Rejected!	
NUCLEOTIDE GPCRS%WIKIPATHWAYS_20220310%WP80%HOMO SAPIENS	8		Rejected!	
TRANS-SULFURATION PATHWAY%WIKIPATHWAYS_20220310%WP2333%HOMO SAPIENS	6		Rejected!	
LIPID METABOLISM IN SENESCENT CELLS%WIKIPATHWAYS_20220310%WP5149%HOMO SAPIENS	18		Rejected!	
METASTATIC BRAIN TUMOR%WIKIPATHWAYS_20220310%WP2249%HOMO SAPIENS	5		Rejected!	
MALIGNANT PLEURAL MESOTHELIOMA%WIKIPATHWAYS_20220310%WP5087%HOMO SAPIENS	370		Rejected!	
IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20220310%WP4197%HOMO SAPIENS	21	19		
NICOTINE EFFECT ON DOPAMINERGIC NEURONS%WIKIPATHWAYS_20220310%WP1602%HOMO SAPIENS	17		Rejected!	
MAMMARY GLAND DEVELOPMENT PATHWAY - INVOLUTION (STAGE 4 OF 4)%WIKIPATHWAYS_20220310%WP2815%HOMO SAPIENS	7		Rejected!	
RAS AND BRADYKININ PATHWAYS IN COVID-19%WIKIPATHWAYS_20220310%WP4969%HOMO SAPIENS	23		Rejected!	
VITAMIN D METABOLISM%WIKIPATHWAYS_20220310%WP1531%HOMO SAPIENS	10		Rejected!	
SARS-COV-2 REPLICATION ORGANELLE FORMATION%WIKIPATHWAYS_20220310%WP5156%HOMO SAPIENS	4		Rejected!	
QUERCETIN AND NF-KB / AP-1 INDUCED APOPTOSIS%WIKIPATHWAYS_20220310%WP2435%HOMO SAPIENS	14		Rejected!	
FOLATE-ALCOHOL AND CANCER PATHWAY HYPOTHESES%WIKIPATHWAYS_20220310%WP1589%HOMO SAPIENS	7		Rejected!	
MIRNAS INVOLVED IN DNA DAMAGE RESPONSE%WIKIPATHWAYS_20220310%WP1545%HOMO SAPIENS	11		Rejected!	
TRYPTOPHAN METABOLISM%WIKIPATHWAYS_20220310%WP465%HOMO SAPIENS	37	19		
15Q13.3 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220310%WP4942%HOMO SAPIENS	16		Rejected!	
METHYLATION PATHWAYS%WIKIPATHWAYS_20220310%WP704%HOMO SAPIENS	5		Rejected!	
CELLULAR PROTEOSTASIS%WIKIPATHWAYS_20220310%WP4918%HOMO SAPIENS	6		Rejected!	
PEROXIREDOXIN 2 INDUCED OVARIAN FAILURE%WIKIPATHWAYS_20220310%WP4873%HOMO SAPIENS	8		Rejected!	
MIRNA BIOGENESIS%WIKIPATHWAYS_20220310%WP2338%HOMO SAPIENS	6		Rejected!	
MAMMARY GLAND DEVELOPMENT PATHWAY - PUBERTY (STAGE 2 OF 4)%WIKIPATHWAYS_20220310%WP2814%HOMO SAPIENS	9		Rejected!	
VITAMIN D IN INFLAMMATORY DISEASES%WIKIPATHWAYS_20220310%WP4482%HOMO SAPIENS	20	17		
NANOPARTICLE TRIGGERED AUTOPHAGIC CELL DEATH%WIKIPATHWAYS_20220310%WP2509%HOMO SAPIENS	20	16		
OMEGA-9 FATTY ACID SYNTHESIS%WIKIPATHWAYS_20220310%WP4724%HOMO SAPIENS	14		Rejected!	
HEPATITIS B INFECTION%WIKIPATHWAYS_20220310%WP4666%HOMO SAPIENS	132	101		
FAMILIAL PARTIAL LIPODYSTROPHY (FPLD)%WIKIPATHWAYS_20220310%WP5102%HOMO SAPIENS	25	15		
SARS-COV-2 AND ACE2 RECEPTOR: MOLECULAR MECHANISMS%WIKIPATHWAYS_20220310%WP4883%HOMO SAPIENS	5		Rejected!	
MICRORNA FOR TARGETING CANCER GROWTH AND VASCULARIZATION IN GLIOBLASTOMA%WIKIPATHWAYS_20220310%WP3593%HOMO SAPIENS	7		Rejected!	
ONCOSTATIN M SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP2374%HOMO SAPIENS	55	49		
METABOLISM OF TETRAHYDROCANNABINOL (THC)%WIKIPATHWAYS_20220310%WP4174%HOMO SAPIENS	2		Rejected!	
ALTERNATIVE PATHWAY OF FETAL ANDROGEN SYNTHESIS%WIKIPATHWAYS_20220310%WP4524%HOMO SAPIENS	10		Rejected!	
COMMON PATHWAYS UNDERLYING DRUG ADDICTION%WIKIPATHWAYS_20220310%WP2636%HOMO SAPIENS	33	16		
ID SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP53%HOMO SAPIENS	13		Rejected!	
SMC1/SMC3 ROLE IN DNA DAMAGE - CORNELIA DE LANGE SYNDROME%WIKIPATHWAYS_20220310%WP5118%HOMO SAPIENS	11		Rejected!	
DNA REPAIR PATHWAYS, FULL NETWORK%WIKIPATHWAYS_20220310%WP4946%HOMO SAPIENS	97	93		
PATHOGENIC ESCHERICHIA COLI INFECTION%WIKIPATHWAYS_20220310%WP2272%HOMO SAPIENS	46	34		
SARS-COV-2 ALTERING ANGIOGENESIS VIA NRP1%WIKIPATHWAYS_20220310%WP5065%HOMO SAPIENS	5		Rejected!	
CARDIAC HYPERTROPHIC RESPONSE%WIKIPATHWAYS_20220310%WP2795%HOMO SAPIENS	49	37		
AGE/RAGE PATHWAY%WIKIPATHWAYS_20220310%WP2324%HOMO SAPIENS	56	44		
NON-HOMOLOGOUS END JOINING%WIKIPATHWAYS_20220310%WP438%HOMO SAPIENS	5		Rejected!	
HOST-PATHOGEN INTERACTION OF HUMAN CORONAVIRUSES - AUTOPHAGY%WIKIPATHWAYS_20220310%WP4863%HOMO SAPIENS	14		Rejected!	
INTERACTIONS BETWEEN LOXL4 AND OXIDATIVE STRESS PATHWAY%WIKIPATHWAYS_20220310%WP3670%HOMO SAPIENS	17		Rejected!	
TGF-BETA RECEPTOR SIGNALING IN SKELETAL DYSPLASIAS%WIKIPATHWAYS_20220310%WP4816%HOMO SAPIENS	54	40		
MICRORNAS IN CARDIOMYOCYTE HYPERTROPHY%WIKIPATHWAYS_20220310%WP1544%HOMO SAPIENS	74	55		
OSTEOBLAST DIFFERENTIATION AND RELATED DISEASES%WIKIPATHWAYS_20220310%WP4787%HOMO SAPIENS	100	62		
G13 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP524%HOMO SAPIENS	34	24		
HAIR FOLLICLE DEVELOPMENT: CYTODIFFERENTIATION - PART 3 OF 3%WIKIPATHWAYS_20220310%WP2840%HOMO SAPIENS	83	40		
TRANSLATION FACTORS%WIKIPATHWAYS_20220310%WP107%HOMO SAPIENS	47	39		
AEROBIC GLYCOLYSIS%WIKIPATHWAYS_20220310%WP4629%HOMO SAPIENS	9		Rejected!	
MELANOMA%WIKIPATHWAYS_20220310%WP4685%HOMO SAPIENS	56	46		
RIBOFLAVIN AND COQ DISORDERS%WIKIPATHWAYS_20220310%WP5037%HOMO SAPIENS	11		Rejected!	
PROSTAGLANDIN AND LEUKOTRIENE METABOLISM IN SENESCENCE %WIKIPATHWAYS_20220310%WP5122%HOMO SAPIENS	28	22		
MITOCHONDRIAL COMPLEX II ASSEMBLY%WIKIPATHWAYS_20220310%WP4920%HOMO SAPIENS	8		Rejected!	
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20220310%WP357%HOMO SAPIENS	17	15		
NON-GENOMIC ACTIONS OF 1,25 DIHYDROXYVITAMIN D3%WIKIPATHWAYS_20220310%WP4341%HOMO SAPIENS	63	47		
MICROGLIA PATHOGEN PHAGOCYTOSIS PATHWAY%WIKIPATHWAYS_20220310%WP3937%HOMO SAPIENS	33	17		
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20220310%WP3947%HOMO SAPIENS	12		Rejected!	
NEPHROTIC SYNDROME%WIKIPATHWAYS_20220310%WP4758%HOMO SAPIENS	38	26		
HYPOTHETICAL CRANIOFACIAL DEVELOPMENT PATHWAY%WIKIPATHWAYS_20220310%WP3655%HOMO SAPIENS	6		Rejected!	
TYROBP CAUSAL NETWORK IN MICROGLIA%WIKIPATHWAYS_20220310%WP3945%HOMO SAPIENS	55	28		
CEREBRAL ORGANIC ACIDURIAS, INCLUDING DISEASES%WIKIPATHWAYS_20220310%WP4519%HOMO SAPIENS	6		Rejected!	
EVOLOCUMAB MECHANISM TO REDUCE LDL CHOLESTEROL%WIKIPATHWAYS_20220310%WP3408%HOMO SAPIENS	2		Rejected!	
DEVELOPMENT OF PULMONARY DENDRITIC CELLS AND MACROPHAGE SUBSETS%WIKIPATHWAYS_20220310%WP3892%HOMO SAPIENS	13		Rejected!	
LINOLEIC ACID OXYLIPIN METABOLISM%WIKIPATHWAYS_20220310%WP5137%HOMO SAPIENS	3		Rejected!	
MAMMARY GLAND DEVELOPMENT PATHWAY - EMBRYONIC DEVELOPMENT (STAGE 1 OF 4)%WIKIPATHWAYS_20220310%WP2813%HOMO SAPIENS	13		Rejected!	
COMPLEMENT SYSTEM%WIKIPATHWAYS_20220310%WP2806%HOMO SAPIENS	84	34		
TYPE I COLLAGEN SYNTHESIS IN THE CONTEXT OF OSTEOGENESIS IMPERFECTA%WIKIPATHWAYS_20220310%WP4786%HOMO SAPIENS	28	23		
AMINO ACID METABOLISM%WIKIPATHWAYS_20220310%WP3925%HOMO SAPIENS	73	42		
REGULATION OF APOPTOSIS BY PARATHYROID HORMONE-RELATED PROTEIN%WIKIPATHWAYS_20220310%WP3872%HOMO SAPIENS	18		Rejected!	
NON-CLASSICAL ROLE OF VITAMIN D%WIKIPATHWAYS_20220310%WP5133%HOMO SAPIENS	6		Rejected!	
PENTOSE PHOSPHATE PATHWAY IN SENESCENT CELLS%WIKIPATHWAYS_20220310%WP5043%HOMO SAPIENS	6		Rejected!	
LIVER X RECEPTOR PATHWAY%WIKIPATHWAYS_20220310%WP2874%HOMO SAPIENS	9		Rejected!	
NOD-LIKE RECEPTOR (NLR) SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP288%HOMO SAPIENS	9		Rejected!	
PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY OF THE HEART%WIKIPATHWAYS_20220310%WP1528%HOMO SAPIENS	21	17		
APOPTOSIS%WIKIPATHWAYS_20220310%WP254%HOMO SAPIENS	75	64		
MYD88 DISTINCT INPUT-OUTPUT PATHWAY%WIKIPATHWAYS_20220310%WP3877%HOMO SAPIENS	16		Rejected!	
COVID-19 ADVERSE OUTCOME PATHWAY%WIKIPATHWAYS_20220310%WP4891%HOMO SAPIENS	14		Rejected!	
MET IN TYPE 1 PAPILLARY RENAL CELL CARCINOMA%WIKIPATHWAYS_20220310%WP4205%HOMO SAPIENS	47	40		
THYROID HORMONES PRODUCTION AND PERIPHERAL DOWNSTREAM SIGNALING EFFECTS%WIKIPATHWAYS_20220310%WP4746%HOMO SAPIENS	88	58		
EPITHELIAL TO MESENCHYMAL TRANSITION IN COLORECTAL CANCER%WIKIPATHWAYS_20220310%WP4239%HOMO SAPIENS	135	96		
IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP205%HOMO SAPIENS	22	19		
HEAD AND NECK SQUAMOUS CELL CARCINOMA%WIKIPATHWAYS_20220310%WP4674%HOMO SAPIENS	65	60		
FACTORS AND PATHWAYS AFFECTING INSULIN-LIKE GROWTH FACTOR (IGF1)-AKT SIGNALING%WIKIPATHWAYS_20220310%WP3850%HOMO SAPIENS	31	24		
GUT-LIVER INDOLE METABOLISM %WIKIPATHWAYS_20220310%WP3627%HOMO SAPIENS	1		Rejected!	
GASTRIC ACID PRODUCTION%WIKIPATHWAYS_20220310%WP2596%HOMO SAPIENS	6		Rejected!	
OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20220310%WP5095%HOMO SAPIENS	126	33		
T CELL RECEPTOR AND CO-STIMULATORY SIGNALING%WIKIPATHWAYS_20220310%WP2583%HOMO SAPIENS	24		Rejected!	
IL1 AND MEGAKARYOCYTES IN OBESITY%WIKIPATHWAYS_20220310%WP2865%HOMO SAPIENS	21		Rejected!	
STATIN INHIBITION OF CHOLESTEROL PRODUCTION%WIKIPATHWAYS_20220310%WP430%HOMO SAPIENS	26		Rejected!	
PATHOGENESIS OF SARS-COV-2 MEDIATED BY NSP9-NSP10 COMPLEX%WIKIPATHWAYS_20220310%WP4884%HOMO SAPIENS	20		Rejected!	
CALCIUM REGULATION IN CARDIAC CELLS%WIKIPATHWAYS_20220310%WP536%HOMO SAPIENS	124	67		
HEART DEVELOPMENT%WIKIPATHWAYS_20220310%WP1591%HOMO SAPIENS	43	23		
NANOMATERIAL INDUCED APOPTOSIS%WIKIPATHWAYS_20220310%WP2507%HOMO SAPIENS	15		Rejected!	
T-CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP69%HOMO SAPIENS	80	53		
NEURODEGENERATION WITH BRAIN IRON ACCUMULATION (NBIA) SUBTYPES PATHWAY%WIKIPATHWAYS_20220310%WP4577%HOMO SAPIENS	35	30		
TP53 NETWORK%WIKIPATHWAYS_20220310%WP1742%HOMO SAPIENS	16	15		
STING PATHWAY IN KAWASAKI-LIKE DISEASE AND COVID-19%WIKIPATHWAYS_20220310%WP4961%HOMO SAPIENS	21	15		
KALLMANN SYNDROME%WIKIPATHWAYS_20220310%WP5074%HOMO SAPIENS	21		Rejected!	
EIF5A REGULATION IN RESPONSE TO INHIBITION OF THE NUCLEAR EXPORT SYSTEM%WIKIPATHWAYS_20220310%WP3302%HOMO SAPIENS	3		Rejected!	
PRE-IMPLANTATION EMBRYO%WIKIPATHWAYS_20220310%WP3527%HOMO SAPIENS	55	27		
EXRNA MECHANISM OF ACTION AND BIOGENESIS%WIKIPATHWAYS_20220310%WP2805%HOMO SAPIENS	5		Rejected!	
EFFECTS OF NITRIC OXIDE%WIKIPATHWAYS_20220310%WP1995%HOMO SAPIENS	6		Rejected!	
OXYSTEROLS DERIVED FROM CHOLESTEROL%WIKIPATHWAYS_20220310%WP4545%HOMO SAPIENS	42	19		
COCAINE METABOLISM%WIKIPATHWAYS_20220310%WP2826%HOMO SAPIENS	4		Rejected!	
SOMATIC SEX DETERMINATION%WIKIPATHWAYS_20220310%WP4814%HOMO SAPIENS	14		Rejected!	
VITAMIN D RECEPTOR PATHWAY%WIKIPATHWAYS_20220310%WP2877%HOMO SAPIENS	166	91		
CELL-TYPE DEPENDENT SELECTIVITY OF CCK2R SIGNALING%WIKIPATHWAYS_20220310%WP3679%HOMO SAPIENS	11		Rejected!	
RELATIONSHIP BETWEEN INFLAMMATION, COX-2 AND EGFR%WIKIPATHWAYS_20220310%WP4483%HOMO SAPIENS	17	15		
MITOCHONDRIAL COMPLEX IV ASSEMBLY%WIKIPATHWAYS_20220310%WP4922%HOMO SAPIENS	33	26		
ENDOMETRIAL CANCER%WIKIPATHWAYS_20220310%WP4155%HOMO SAPIENS	55	47		
TAMOXIFEN METABOLISM%WIKIPATHWAYS_20220310%WP691%HOMO SAPIENS	17		Rejected!	
EUKARYOTIC TRANSCRIPTION INITIATION%WIKIPATHWAYS_20220310%WP405%HOMO SAPIENS	36	32		
FLUOROACETIC ACID TOXICITY%WIKIPATHWAYS_20220310%WP4966%HOMO SAPIENS	6		Rejected!	
DISORDERS OF BILE ACID SYNTHESIS AND BILIARY TRANSPORT%WIKIPATHWAYS_20220310%WP5176%HOMO SAPIENS	17		Rejected!	
PILOCYTIC ASTROCYTOMA%WIKIPATHWAYS_20220310%WP2253%HOMO SAPIENS	6		Rejected!	
CARDIAC PROGENITOR DIFFERENTIATION%WIKIPATHWAYS_20220310%WP2406%HOMO SAPIENS	49	21		
NONALCOHOLIC FATTY LIVER DISEASE%WIKIPATHWAYS_20220310%WP4396%HOMO SAPIENS	141	115		
FLUOROPYRIMIDINE ACTIVITY%WIKIPATHWAYS_20220310%WP1601%HOMO SAPIENS	27	21		
PDGF PATHWAY%WIKIPATHWAYS_20220310%WP2526%HOMO SAPIENS	33	30		
MED AND PSEUDOACHONDROPLASIA GENES%WIKIPATHWAYS_20220310%WP4789%HOMO SAPIENS	6		Rejected!	
NRF2-ARE REGULATION%WIKIPATHWAYS_20220310%WP4357%HOMO SAPIENS	21	20		
4-HYDROXYTAMOXIFEN, DEXAMETHASONE, AND RETINOIC ACIDS REGULATION OF P27 EXPRESSION%WIKIPATHWAYS_20220310%WP3879%HOMO SAPIENS	16	15		
SPHINGOLIPID PATHWAY%WIKIPATHWAYS_20220310%WP1422%HOMO SAPIENS	24	20		
TARGET OF RAPAMYCIN (TOR) SIGNALING%WIKIPATHWAYS_20220310%WP1471%HOMO SAPIENS	32	29		
PI3K-AKT-MTOR SIGNALING PATHWAY AND THERAPEUTIC OPPORTUNITIES%WIKIPATHWAYS_20220310%WP3844%HOMO SAPIENS	24	22		
ULCERATIVE COLITIS SIGNALING%WIKIPATHWAYS_20220310%WP5174%HOMO SAPIENS	16		Rejected!	
ACETYLCHOLINE SYNTHESIS%WIKIPATHWAYS_20220310%WP528%HOMO SAPIENS	6		Rejected!	
NEOVASCULARISATION PROCESSES%WIKIPATHWAYS_20220310%WP4331%HOMO SAPIENS	30	22		
G1 TO S CELL CYCLE CONTROL%WIKIPATHWAYS_20220310%WP45%HOMO SAPIENS	54	47		
VITAMIN B12 DISORDERS%WIKIPATHWAYS_20220310%WP4271%HOMO SAPIENS	12		Rejected!	
MITOCHONDRIAL FATTY ACID SYNTHESIS PATHWAY%WIKIPATHWAYS_20220310%WP4317%HOMO SAPIENS	5		Rejected!	
EICOSANOID METABOLISM VIA CYCLOOXYGENASES (COX)%WIKIPATHWAYS_20220310%WP4719%HOMO SAPIENS	28	15		
NEURAL CREST DIFFERENTIATION%WIKIPATHWAYS_20220310%WP2064%HOMO SAPIENS	94	51		
CANONICAL AND NON-CANONICAL NOTCH SIGNALING%WIKIPATHWAYS_20220310%WP3845%HOMO SAPIENS	22	15		
TRANSCRIPTION CO-FACTORS SKI AND SKIL PROTEIN PARTNERS%WIKIPATHWAYS_20220310%WP4533%HOMO SAPIENS	12		Rejected!	
NO/CGMP/PKG MEDIATED NEUROPROTECTION%WIKIPATHWAYS_20220310%WP4008%HOMO SAPIENS	34	19		
ACTIVATION OF NLRP3 INFLAMMASOME BY SARS-COV-2%WIKIPATHWAYS_20220310%WP4876%HOMO SAPIENS	6		Rejected!	
COMPLEMENT ACTIVATION%WIKIPATHWAYS_20220310%WP545%HOMO SAPIENS	19		Rejected!	
THERMOGENESIS%WIKIPATHWAYS_20220310%WP4321%HOMO SAPIENS	94	74		
MYOMETRIAL RELAXATION AND CONTRACTION PATHWAYS%WIKIPATHWAYS_20220310%WP289%HOMO SAPIENS	125	79		
NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN (NOD) PATHWAY%WIKIPATHWAYS_20220310%WP1433%HOMO SAPIENS	35	21		
SARS-COV-2 AND COVID-19 PATHWAY%WIKIPATHWAYS_20220310%WP4846%HOMO SAPIENS	9		Rejected!	
BUTYRATE-INDUCED HISTONE ACETYLATION%WIKIPATHWAYS_20220310%WP2366%HOMO SAPIENS	1		Rejected!	
CANCER IMMUNOTHERAPY BY PD-1 BLOCKADE%WIKIPATHWAYS_20220310%WP4585%HOMO SAPIENS	22		Rejected!	
ALPHA 6 BETA 4 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP244%HOMO SAPIENS	28	26		
INSULIN SIGNALING%WIKIPATHWAYS_20220310%WP481%HOMO SAPIENS	136	115		
MAP3K1 ROLE IN PROMOTING AND BLOCKING GONADAL DETERMINATION%WIKIPATHWAYS_20220310%WP4872%HOMO SAPIENS	16		Rejected!	
INTRAFLAGELLAR TRANSPORT PROTEINS BINDING TO DYNEIN%WIKIPATHWAYS_20220310%WP4532%HOMO SAPIENS	22	15		
ATR SIGNALING%WIKIPATHWAYS_20220310%WP3875%HOMO SAPIENS	9		Rejected!	
REGULATION OF ACTIN CYTOSKELETON%WIKIPATHWAYS_20220310%WP51%HOMO SAPIENS	123	77		
BMP2-WNT4-FOXO1 PATHWAY IN PRIMARY ENDOMETRIAL STROMAL CELL DIFFERENTIATION%WIKIPATHWAYS_20220310%WP3876%HOMO SAPIENS	13		Rejected!	
FLAVAN-3-OL METABOLIC PATHWAY%WIKIPATHWAYS_20220310%WP4238%HOMO SAPIENS	0		Rejected!	
GASTRIC CANCER NETWORK 2%WIKIPATHWAYS_20220310%WP2363%HOMO SAPIENS	28	25		
GLYCOLYSIS IN SENESCENCE%WIKIPATHWAYS_20220310%WP5049%HOMO SAPIENS	8		Rejected!	
CLASSICAL PATHWAY OF STEROIDOGENESIS WITH GLUCOCORTICOID AND MINERALOCORTICOID METABOLISM%WIKIPATHWAYS_20220310%WP4523%HOMO SAPIENS	13		Rejected!	
COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20220310%WP558%HOMO SAPIENS	54	20		
HEMATOPOIETIC STEM CELL DIFFERENTIATION%WIKIPATHWAYS_20220310%WP2849%HOMO SAPIENS	50	24		
SPHINGOLIPID METABOLISM: INTEGRATED PATHWAY%WIKIPATHWAYS_20220310%WP4726%HOMO SAPIENS	25	20		
LTF DANGER SIGNAL RESPONSE PATHWAY%WIKIPATHWAYS_20220310%WP4478%HOMO SAPIENS	17		Rejected!	
DIFFERENTIATION OF WHITE AND BROWN ADIPOCYTE%WIKIPATHWAYS_20220310%WP2895%HOMO SAPIENS	24		Rejected!	
VITAMIN D-SENSITIVE CALCIUM SIGNALING IN DEPRESSION%WIKIPATHWAYS_20220310%WP4698%HOMO SAPIENS	31	18		
AMINO ACID METABOLISM PATHWAY EXCERPT: HISTIDINE CATABOLISM EXTENSION%WIKIPATHWAYS_20220310%WP4661%HOMO SAPIENS	5		Rejected!	
CIRCADIAN RHYTHM GENES%WIKIPATHWAYS_20220310%WP3594%HOMO SAPIENS	173	110		
FAMILIAL HYPERLIPIDEMIA TYPE 5%WIKIPATHWAYS_20220310%WP5112%HOMO SAPIENS	11		Rejected!	
SELECTIVE EXPRESSION OF CHEMOKINE RECEPTORS DURING T-CELL POLARIZATION%WIKIPATHWAYS_20220310%WP4494%HOMO SAPIENS	23		Rejected!	
SARS CORONAVIRUS AND INNATE IMMUNITY%WIKIPATHWAYS_20220310%WP4912%HOMO SAPIENS	31	15		
